fileid,prediction
MLSP_test2154380.npy,Microwave_oven
MLSP_test2155260.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2158293.npy,Bark
MLSP_test2182439.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2186214.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2204281.npy,Walk_and_footsteps
MLSP_test2206272.npy,Microwave_oven
MLSP_test2211271.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2229354.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2239166.npy,Meow
MLSP_test2318377.npy,Walk_and_footsteps
MLSP_test2336133.npy,Microwave_oven
MLSP_test2406.npy,Siren
MLSP_test2409.npy,Siren
MLSP_test2426402.npy,Walk_and_footsteps
MLSP_test2462130.npy,Walk_and_footsteps
MLSP_test2471429.npy,Walk_and_footsteps
MLSP_test2472403.npy,Knock
MLSP_test25298.npy,Bark
MLSP_test2545247.npy,Walk_and_footsteps
MLSP_test2552281.npy,Walk_and_footsteps
MLSP_test2559120.npy,Walk_and_footsteps
MLSP_test2565453.npy,Microwave_oven
MLSP_test2566454.npy,Walk_and_footsteps
MLSP_test2590367.npy,Walk_and_footsteps
MLSP_test2647496.npy,Walk_and_footsteps
MLSP_test2679170.npy,Crying_and_sobbing
MLSP_test2693194.npy,Walk_and_footsteps
MLSP_test2779413.npy,Walk_and_footsteps
MLSP_test2823431.npy,Walk_and_footsteps
MLSP_test2828417.npy,Walk_and_footsteps
MLSP_test286435.npy,Bark
MLSP_test301421.npy,Bark
MLSP_test303269.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test329269.npy,Bark
MLSP_test3739.npy,Siren
MLSP_test423139.npy,Bark
MLSP_test432208.npy,Bark
MLSP_test453350.npy,Bark
MLSP_test4577.npy,Bark
MLSP_test463146.npy,Bark
MLSP_test485355.npy,Bark
MLSP_test489164.npy,Bark
MLSP_test49854.npy,Bark
MLSP_test5143.npy,Siren
MLSP_test536357.npy,Doorbell
MLSP_test552352.npy,Crying_and_sobbing
MLSP_test55319.npy,Crying_and_sobbing
MLSP_test55458.npy,Crying_and_sobbing
MLSP_test56548.npy,Crying_and_sobbing
MLSP_test566180.npy,Crying_and_sobbing
MLSP_test569232.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test572384.npy,Crying_and_sobbing
MLSP_test574217.npy,Crying_and_sobbing
MLSP_test580456.npy,Crying_and_sobbing
MLSP_test582166.npy,Crying_and_sobbing
MLSP_test584349.npy,Crying_and_sobbing
MLSP_test58686.npy,Meow
MLSP_test58819.npy,Crying_and_sobbing
MLSP_test592439.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test593381.npy,Crying_and_sobbing
MLSP_test597453.npy,Shatter
MLSP_test599390.npy,Crying_and_sobbing
MLSP_test6052.npy,Bark
MLSP_test6079.npy,Bark
MLSP_test6118.npy,Bark
MLSP_test612184.npy,Shatter
MLSP_test616123.npy,Doorbell
MLSP_test620253.npy,Doorbell
MLSP_test632353.npy,Crying_and_sobbing
MLSP_test633242.npy,Doorbell
MLSP_test63869.npy,Doorbell
MLSP_test639115.npy,Doorbell
MLSP_test6401.npy,Walk_and_footsteps
MLSP_test6416.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test645492.npy,Doorbell
MLSP_test651130.npy,Meow
MLSP_test65746.npy,Doorbell
MLSP_test665311.npy,Doorbell
MLSP_test68182.npy,Doorbell
MLSP_test682163.npy,Doorbell
MLSP_test68320.npy,Bark
MLSP_test683408.npy,Doorbell
MLSP_test684486.npy,Doorbell
MLSP_test688497.npy,Doorbell
MLSP_test6886.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test68915.npy,Doorbell
MLSP_test6905.npy,Knock
MLSP_test712344.npy,Doorbell
MLSP_test732470.npy,Knock
MLSP_test7347.npy,Meow
MLSP_test7443.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test7490.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test755223.npy,Knock
MLSP_test7672.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test7723.npy,Crying_and_sobbing
MLSP_test774107.npy,Knock
MLSP_test77893.npy,Knock
MLSP_test7835.npy,Siren
MLSP_test7872.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test80263.npy,Knock
MLSP_test819237.npy,Walk_and_footsteps
MLSP_test8395.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test8403.npy,Meow
MLSP_test856170.npy,Microwave_oven
MLSP_test88227.npy,Knock
MLSP_test896150.npy,Knock
MLSP_test901102.npy,Knock
MLSP_test925449.npy,Knock
MLSP_test932110.npy,Knock
MLSP_test941333.npy,Knock
MLSP_test942230.npy,Knock
MLSP_test968297.npy,Knock
MLSP_test997159.npy,Knock
